Humidity,Temperature,Vibration,GLOF_Detected
85.68358879,18.67412428,Yes,Yes
3.955796412,-6.094804747,Yes,No
82.56176973,17.57272794,Yes,Yes
2.578264376,-10.87667661,Yes,No
54.69823504,-18.91261544,No,No
94.53387446,20.77128707,Yes,Yes
52.21171089,2.072235324,No,No
92.60548474,26.48915267,Yes,Yes
93.42293629,25.77321848,Yes,Yes
90.56116111,19.73714068,Yes,Yes
32.27598993,0.899081701,No,No
15.8227418,1.199473416,No,No
95.13822452,23.71664615,Yes,Yes
85.11485872,15.22396714,Yes,Yes
73.23423971,-15.22701132,No,No
62.81043897,-4.618711897,Yes,No
98.49348369,18.70545924,Yes,Yes
99.27709184,22.83884931,Yes,Yes
97.52292184,16.75374309,Yes,Yes
93.15030214,15.14795213,Yes,Yes
78.93063794,21.12745805,Yes,Yes
62.70882774,13.52898733,No,No
24.91293915,-13.27943122,Yes,No
24.08716145,-11.16870395,Yes,No
25.70481941,-13.40250515,Yes,No
76.22072924,26.64233761,Yes,Yes
49.67384352,-6.207072302,Yes,No
57.26368828,-14.29840709,No,No
72.60572861,6.470853394,Yes,No
86.32734148,22.63877283,Yes,Yes
63.34994318,-9.097069535,No,No
85.54226555,25.96003549,Yes,Yes
8.547441534,-16.01833144,No,No
64.91717874,8.40130787,Yes,No
16.95593033,-11.36702436,No,No
82.68751514,17.14293462,Yes,Yes
98.70677109,23.1910663,Yes,Yes
55.62310889,-1.184660168,No,No
61.37853186,1.540012026,Yes,No
37.94443501,14.0600649,Yes,No
16.98912195,-5.966038566,No,No
92.61463755,15.79809344,Yes,Yes
18.92360521,-19.28806213,No,No
99.75904558,21.01552411,Yes,Yes
74.5747727,-10.73142874,Yes,No
55.390954,-12.67076501,No,No
57.1835219,12.62934094,Yes,No
79.30050266,27.62898653,Yes,Yes
77.84751784,24.78799628,Yes,Yes
50.93719262,-0.515176021,Yes,No
84.41708357,21.30591604,Yes,Yes
70.72370881,1.105485218,Yes,No
96.06352289,21.7842984,Yes,Yes
57.17269684,4.800424102,Yes,No
86.49939813,16.98134465,Yes,Yes
81.32733189,26.93373887,Yes,Yes
28.57434553,0.24973763,No,No
78.68607087,19.38572766,Yes,Yes
40.84164935,11.32798105,Yes,No
10.91366121,-2.158502658,Yes,No
8.151190453,8.434478017,Yes,No
82.18930445,29.96753075,Yes,Yes
24.52057683,-7.032799703,No,No
2.944878874,-16.87722412,No,No
50.80785534,13.30958422,Yes,No
76.61540958,28.72677509,Yes,Yes
19.56369345,10.77215182,Yes,No
87.05869043,28.77934063,Yes,Yes
9.45015209,3.308150813,No,No
80.36379921,20.0617285,Yes,Yes
95.14141842,19.30893329,Yes,Yes
2.985857958,3.166555177,Yes,No
56.98677438,-4.50424253,Yes,No
90.42676028,18.58231002,Yes,Yes
81.83613258,20.69241563,Yes,Yes
29.3858171,-4.493600818,Yes,No
15.13462112,-5.687546749,No,No
96.83541411,26.09448627,Yes,Yes
94.63391106,17.11677583,Yes,Yes
90.26743204,19.71612244,Yes,Yes
31.1863926,11.83553433,No,No
86.81305925,17.89243797,Yes,Yes
92.69121296,15.32938389,Yes,Yes
98.21364431,18.34659906,Yes,Yes
14.73652252,-3.016053855,No,No
92.71961977,24.72275356,Yes,Yes
69.94250315,-6.22113399,No,No
42.46355184,-18.01810549,No,No
9.029068409,-18.15515736,Yes,No
9.0335505,11.36898508,No,No
99.67912295,15.94312628,Yes,Yes
2.954387527,3.57634412,Yes,No
55.34458267,-1.376961162,Yes,No
85.620434,24.05600509,Yes,Yes
42.57954884,-3.915295787,No,No
78.1956841,24.73223525,Yes,Yes
81.93047762,19.9468975,Yes,Yes
5.156542982,5.071387022,Yes,No
95.66053263,25.61136637,Yes,Yes
77.56123823,25.00718469,Yes,Yes
90.00085036,21.94267418,Yes,Yes
25.57189286,-11.84843565,Yes,No
61.83536382,10.84377386,No,No
83.69872156,26.08662045,Yes,Yes
74.73947316,13.52183304,No,No
91.16409309,23.03306817,Yes,Yes
98.77325289,26.95220442,Yes,Yes
82.19059907,24.92437344,Yes,Yes
11.00213355,13.58572517,No,No
71.67371004,8.679974878,Yes,No
36.28951641,-4.938925019,Yes,No
43.55243134,7.652913749,No,No
51.96816833,3.183015097,Yes,No
12.10221008,11.88921755,No,No
94.50212427,28.78455384,Yes,Yes
9.8465979,4.637783346,Yes,No
80.34959359,25.7390864,Yes,Yes
91.21613687,23.24399942,Yes,Yes
80.16096629,16.65294956,Yes,Yes
25.65994501,10.15687325,No,No
20.32070237,3.60027508,Yes,No
50.48190982,-4.737533192,No,No
